Date,rf_rate
3/12/2018,0.000186667
3/13/2018,0.000188889
3/14/2018,0.000192222
3/15/2018,0.000193333
3/16/2018,0.000194444
3/19/2018,0.000196667
3/20/2018,0.000197778
3/21/2018,0.00019
3/22/2018,0.000187778
3/23/2018,0.00019
3/26/2018,0.000195556
3/27/2018,0.000193333
3/28/2018,0.000188889
3/29/2018,0.000188889
4/2/2018,0.000193333
4/3/2018,0.000191111
4/4/2018,0.000186667
4/5/2018,0.000187778
4/6/2018,0.000188889
4/9/2018,0.000192222
4/10/2018,0.00019
4/11/2018,0.000188889
4/12/2018,0.000191111
4/13/2018,0.000192222
4/16/2018,0.000195556
4/17/2018,0.000196667
4/18/2018,0.000197778
4/19/2018,0.000198889
4/20/2018,0.000197778
4/23/2018,0.000204444
4/24/2018,0.000204444
4/25/2018,0.000202222
4/26/2018,0.000198889
4/27/2018,0.000197778
4/30/2018,0.000204444
5/1/2018,0.000202222
5/2/2018,0.000201111
5/3/2018,0.0002
5/4/2018,0.0002
5/7/2018,0.000203333
5/8/2018,0.000204444
5/9/2018,0.000205556
5/10/2018,0.000206667
5/11/2018,0.000208889
5/14/2018,0.000211111
5/15/2018,0.00021
5/16/2018,0.000208889
5/17/2018,0.000208889
5/18/2018,0.000207778
5/21/2018,0.000211111
5/22/2018,0.000211111
5/23/2018,0.000208889
5/24/2018,0.000207778
5/25/2018,0.000206667
5/29/2018,0.000211111
5/30/2018,0.000211111
5/31/2018,0.00021
6/1/2018,0.000208889
6/4/2018,0.000212222
6/5/2018,0.000212222
6/6/2018,0.000212222
6/7/2018,0.000211111
6/8/2018,0.00021
6/11/2018,0.000212222
6/12/2018,0.00021
6/13/2018,0.000211111
6/14/2018,0.000211111
6/15/2018,0.000211111
6/18/2018,0.000212222
6/19/2018,0.000212222
6/20/2018,0.000211111
6/21/2018,0.000211111
6/22/2018,0.00021
6/25/2018,0.000211111
6/26/2018,0.000211111
6/27/2018,0.00021
6/28/2018,0.00021
6/29/2018,0.00021
7/2/2018,0.000216667
7/3/2018,0.000215556
7/5/2018,0.000213333
7/6/2018,0.000214444
7/9/2018,0.000216667
7/10/2018,0.000216667
7/11/2018,0.000214444
7/12/2018,0.000215556
7/13/2018,0.000215556
7/16/2018,0.00022
7/17/2018,0.00022
7/18/2018,0.000217778
7/19/2018,0.000217778
7/20/2018,0.000216667
7/23/2018,0.000217778
7/24/2018,0.00022
7/25/2018,0.000218889
7/26/2018,0.000216667
7/27/2018,0.000217778
7/30/2018,0.000223333
7/31/2018,0.000221111
8/1/2018,0.000221111
8/2/2018,0.00022
8/3/2018,0.000218889
8/6/2018,0.000224444
8/7/2018,0.000224444
8/8/2018,0.000224444
8/9/2018,0.000224444
8/10/2018,0.000223333
8/13/2018,0.000225556
8/14/2018,0.000226667
8/15/2018,0.000225556
8/16/2018,0.000225556
8/17/2018,0.000223333
8/20/2018,0.000225556
8/21/2018,0.000226667
8/22/2018,0.000227778
8/23/2018,0.000226667
8/24/2018,0.000227778
8/27/2018,0.000231111
8/28/2018,0.000232222
8/29/2018,0.000232222
8/30/2018,0.00023
8/31/2018,0.00023
9/4/2018,0.000232222
9/5/2018,0.000233333
9/6/2018,0.000232222
9/7/2018,0.000233333
9/10/2018,0.000234444
9/11/2018,0.000234444
9/12/2018,0.000235556
9/13/2018,0.000234444
9/14/2018,0.000235556
9/17/2018,0.000236667
9/18/2018,0.000236667
9/19/2018,0.000235556
9/20/2018,0.000236667
9/21/2018,0.000237778
9/24/2018,0.000242222
9/25/2018,0.000241111
9/26/2018,0.00024
9/27/2018,0.000237778
9/28/2018,0.000238889
10/1/2018,0.000243333
10/2/2018,0.000243333
10/3/2018,0.000243333
10/4/2018,0.000242222
10/5/2018,0.000242222
10/9/2018,0.000245556
10/10/2018,0.000247778
10/11/2018,0.000246667
10/12/2018,0.000247778
10/15/2018,0.000252222
10/16/2018,0.000251111
10/17/2018,0.000252222
10/18/2018,0.000252222
10/19/2018,0.000251111
10/22/2018,0.000255556
10/23/2018,0.000254444
10/24/2018,0.000254444
10/25/2018,0.000254444
10/26/2018,0.000253333
